A_L,J_sym,A_hat,J_hat,d_line,D_ideal
344.6809683410509,0.1683714231922184,0.0,1.0,0.0,1.0
346.35602106023646,0.16715177147842028,0.06354274836072073,0.9012567158621572,0.02489053754940273,0.9034939671939569
351.1397611455295,0.1659788523734233,0.24501285314086704,0.806296914514646,-0.03628148465031949,0.8427016153776297
353.24437082129265,0.16464268818401456,0.3248507480875879,0.6981207534704971,-0.016243304525759263,0.7700003863370979
355.41881133878195,0.1635367109986429,0.40733766031764596,0.6085805853801803,-0.011255899477526558,0.732321171628089
357.53613721317794,0.16241529357515797,0.4876579414009808,0.5177903720499603,-0.0038525393871902533,0.7112785229423694
359.7044710437341,0.16174187134629442,0.5699131978349755,0.4632699530343238,-0.023464031000817807,0.734452246542219
361.8877621115979,0.16107000297265042,0.6527358537039415,0.4088753344957557,-0.043565688972966476,0.7702227819726117
364.0627841842814,0.16039281581611223,0.7352448270995604,0.3540501060669643,-0.06314105276764917,0.8160492836726781
366.32487516777945,0.1597384836503832,0.8210567400543737,0.30107522296701283,-0.08636033925204706,0.8745172727129819
368.65255386548546,0.1578706751445561,0.9093567082039489,0.14985701540870894,-0.04187042550581632,0.9216218030313345
371.0420050037488,0.15601967973495684,1.0,0.0,0.0,1.0
