A_L,A_R,J_sym,J_shape,J_overlap,E_sym,J_A,J_tau,S1_5,S6,S7,S8_9,v
344.6809683410509,230.65633802650223,0.1683714231922184,0.040250297958952505,0.1992548894827361,114.63877139576113,0.1981874442216443,0.1683714231922184,184.99943941567824,185.00000737137935,225.0002715240388,263.2171178633457,96.11307453737182
346.35602106023646,232.29163650480808,0.16715177147842028,0.0403696613209653,0.19820279972706994,114.68958578510086,0.19712234736284148,0.16715177147842028,184.9999323042199,185.00000536987196,225.0000057893226,263.36433464755964,96.13504739090288
351.1397611455295,235.52432848749646,0.1659788523734233,0.04107234901786046,0.19799414501736606,116.15605483948036,0.19707262588742483,0.1659788523734233,184.9976383002475,185.00000322384736,225.0000067395942,263.6487145427664,96.10820656472303
353.24437082129265,237.64485268114365,0.16464268818401456,0.041099663406326516,0.19665769938545086,116.20291528584124,0.19563653142081164,0.16464268818401456,184.9964912982613,185.0000021508351,225.00000721472998,263.79090449036977,96.0947861516331
355.41881133878195,239.600310930352,0.1635367109986429,0.04122098486396958,0.19569298367892038,116.44106738305486,0.1946466862553188,0.1635367109986429,184.9953442962751,185.00000107782276,225.00000768986578,263.9330944379732,96.08136573854318
357.53613721317794,241.53542611046237,0.16241529357515797,0.04133571910508288,0.19470674073350233,116.64327156106465,0.19363414691051548,0.16241529357515797,184.9941972942889,185.0000000048105,225.00000816500156,264.07528438557654,96.06794532545325
359.7044710437341,243.22481727350737,0.16174187134629442,0.04152084546306936,0.19425838175676374,117.12406786245882,0.1931895763351038,0.16174187134629442,184.94800543974137,185.00000000360785,225.00000612375118,264.1907579672732,96.02287893614871
361.8877621115979,244.92742831661195,0.16107000297265042,0.04170540013616232,0.19381037490932868,117.60707955776084,0.1927445713945593,0.16107000297265042,184.90181358519385,185.00000000240524,225.00000408250077,264.3062315489699,95.97781254684418
364.0627841842814,246.63237407851253,0.16039281581611223,0.0418875211009948,0.19335353473732428,118.08006749727423,0.19228973493031035,0.16039281581611223,184.8556217306463,185.00000000120264,225.00000204125038,264.42170513066657,95.93274615753964
366.32487516777945,248.38453527685493,0.1597384836503832,0.042076510701332615,0.19292474686369068,118.59265740495255,0.1918635665678577,0.1597384836503832,184.80942987609876,185.0,225.0,264.53717871236324,95.8876797682351
368.65255386548546,250.78140256988092,0.1578706751445561,0.042279415702702286,0.19135276268346915,118.53039886405037,0.19028848849960212,0.1578706751445561,184.89575662734813,185.0,225.00000371225332,264.7685430071374,95.96714419100637
371.0420050037488,253.22539929883845,0.15601967973495684,0.04248413802777945,0.18979667352124904,118.48387672456552,0.18872778699112566,0.15601967973495684,184.98208337859754,185.0,225.0000074245066,264.9999073019115,96.04660861377764
