model,rmse,mae,max_abs,aic,bic,jacobian_condition,peak_T,peak_t
M0_linear_front_one_cool,6.953498221757015,5.404280397170943,18.405465354592053,2757.8492316198294,2776.104653725958,22.7122381424203,244.83549659412353,291.1
M1_lossy_front_one_cool,4.706464317114017,3.2983609274733796,13.730183287208035,2206.3925956079465,2229.211873240607,264385.8766001329,244.95434375394004,291.1
M2_lossy_front_two_cool,2.193013713741536,1.6933585940465345,5.961821281192755,1125.522392976218,1152.9055261354108,192088.96833594984,242.8698189735935,291.2
M3_lossy_front_two_cool_delayed_gap,2.0699425209692746,1.5960545867685483,5.871219947319151,1045.6245500480711,1077.571538733796,180957.45337800635,242.9283821132077,295.2
M4_split_front_two_cool_delayed_gap,1.930815505349077,1.4757757758269487,7.199077520609443,948.9624016194616,985.4732458317186,277961453.554495,242.93888230368913,295.2
