t,T
0.0,25.0
0.025,25.000079823005084
0.05,25.00025591703239
0.07500000000000001,25.000530602369512
0.1,25.000904142589793
0.125,25.00137653678117
0.15000000000000002,25.00194775133514
0.17500000000000002,25.002617748660896
0.2,25.003386490695735
0.225,25.004253939332543
0.25,25.005220056471728
0.275,25.00628480402764
0.30000000000000004,25.007448143929256
0.325,25.00871003812023
0.35000000000000003,25.010070448559027
0.375,25.01152933721879
0.4,25.013086666087446
0.42500000000000004,25.01474239716757
0.45,25.016496492476538
0.47500000000000003,25.018348914046356
0.5,25.020299623923766
0.525,25.02234858417023
0.55,25.024495756861892
0.5750000000000001,25.026741104089574
0.6000000000000001,25.029084587958774
0.625,25.0315261705897
0.65,25.0340658141172
0.675,25.03670348069079
0.7000000000000001,25.03943913247466
0.7250000000000001,25.042272731647635
0.75,25.04520424040321
0.775,25.048233620949507
0.8,25.05136083550928
0.8250000000000001,25.054585846319917
0.8500000000000001,25.057908615633487
0.875,25.061329105716606
0.9,25.06484727885052
0.925,25.0684630973311
0.9500000000000001,25.07217652346881
0.9750000000000001,25.075987519588733
1.0,25.079896048030516
1.0250000000000001,25.083902071148422
1.05,25.088005551311227
1.075,25.092206450902385
1.1,25.09650473231987
1.125,25.100900357976204
1.1500000000000001,25.105393290298444
1.175,25.109983491728283
1.2000000000000002,25.11467092472189
1.225,25.119455551750022
1.25,25.124337335297938
1.2750000000000001,25.129316237865464
1.3,25.1343922219669
1.3250000000000002,25.139565250131092
1.35,25.14483528490139
1.375,25.150202288835704
1.4000000000000001,25.155666224506405
1.425,25.161227054500344
1.4500000000000002,25.166884741418848
1.475,25.172639247877825
1.5,25.178490536507574
1.5250000000000001,25.18443856995287
1.55,25.190483310873027
1.5750000000000002,25.19662472194176
1.6,25.202862765847236
1.625,25.209197405292127
1.6500000000000001,25.215628602993544
1.675,25.222156321683002
1.7000000000000002,25.228780524106455
1.725,25.235501173024332
1.75,25.242318231211446
1.7750000000000001,25.249231661457024
1.8,25.256241426564717
1.8250000000000002,25.263347489352604
1.85,25.27054981265315
1.875,25.277848359313243
1.9000000000000001,25.285243092194122
1.925,25.292733974171426
1.9500000000000002,25.300320968135193
1.975,25.308004036989804
2.0,25.315783143654038
2.025,25.323658251061016
2.0500000000000003,25.331629322158204
2.075,25.339696319907492
2.1,25.34785920728503
2.125,25.3561179472814
2.15,25.364472502901425
2.1750000000000003,25.37292283716429
2.2,25.381468913103546
2.225,25.390110693767042
2.25,25.398848142216938
2.275,25.407681221529693
2.3000000000000003,25.416609894796036
2.325,25.425634125121086
2.35,25.43475387562419
2.375,25.44396910943899
2.4000000000000004,25.453279789713413
2.4250000000000003,25.46268587960968
2.45,25.47218734230423
2.475,25.481784140987816
2.5,25.49147623886544
2.5250000000000004,25.501263599156367
2.5500000000000003,25.51114618509406
2.575,25.52112395992627
2.6,25.531196886915
2.625,25.54136492933647
2.6500000000000004,25.551628050481085
2.6750000000000003,25.56198621365353
2.7,25.572439382172664
2.725,25.58298751937158
2.75,25.593630588597573
2.7750000000000004,25.604368553212094
2.8000000000000003,25.615201376590853
2.825,25.626129022123738
2.85,25.637151453214784
2.875,25.648268633282207
2.9000000000000004,25.65948052575844
2.9250000000000003,25.670787094090027
2.95,25.6821883017377
2.975,25.69368411217633
3.0,25.705274488894965
3.0250000000000004,25.716959395396803
3.0500000000000003,25.728738795199156
3.075,25.740612651833466
3.1,25.752580928845326
