algo,feasible,A,V,note,S1_5,S6,S7,S8_9,v
CDE+COBYLA,True,411.0268139826968,0.0,best over 1 repeats @ dt=0.025,184.9980497040609,198.0179189047194,237.99951057083297,264.9999713685555,99.42989614833432
GA+COBYLA,True,424.7801152779689,0.0,best over 1 repeats @ dt=0.025,169.3589289247053,195.68639405516677,225.0,264.3535989377123,88.77501136770373
PSO+COBYLA,True,412.89375438119635,0.0,best over 1 repeats @ dt=0.025,179.7775796002049,188.21843700100231,236.24877207588,264.9949994607509,95.48622969928826
