algo,n_repeats,feasible_rate,best_A,mean_A,std_A,mean_elapsed_s
CDE+COBYLA,5,1.0,344.705502378445,347.30835703754866,4.098002128081402,199.8029050199897
GA+COBYLA,5,1.0,399.282406012645,417.40149240890725,15.551143195902933,205.51053486000166
PSO+COBYLA,5,1.0,347.93085936896654,362.2863563522763,11.50171026544413,198.80072053999757
